zone,rank,feature,feature_value,shap,direction
"BTP001 - 10th Cross, Dr. Rajkumar Road",1,zone_hist_mean,1.8955532574974148,1.3081,increases
"BTP001 - 10th Cross, Dr. Rajkumar Road",2,roll_7d_mean,3.2857142857142856,0.4139,increases
"BTP001 - 10th Cross, Dr. Rajkumar Road",3,zone_freq_enc,0.009544389481905753,0.3253,increases
"BTP001 - 10th Cross, Dr. Rajkumar Road",4,lag_1bin,0.0,-0.2207,decreases
BTP006 - Navarang Bar Junction,1,zone_hist_mean,0.02481902792140641,-1.6556,decreases
BTP006 - Navarang Bar Junction,2,violation_growth_rate,0.0,-0.4594,decreases
BTP006 - Navarang Bar Junction,3,zone_freq_enc,0.0001249674563915647,-0.338,decreases
BTP006 - Navarang Bar Junction,4,month,4.0,-0.3204,decreases
BTP008 - Navarang Theatre,1,zone_hist_mean,0.6763185108583247,0.6499,increases
BTP008 - Navarang Theatre,2,zone_heavy_veh_share,0.024464831804281346,-0.2931,decreases
BTP008 - Navarang Theatre,3,hour,0.0,-0.2541,decreases
BTP008 - Navarang Theatre,4,roll_7d_mean,1.2321428571428572,0.2353,increases
BTP009 - Prakash Nagar Junction,1,violation_growth_rate,0.0,-0.4353,decreases
BTP009 - Prakash Nagar Junction,2,month,4.0,-0.3442,decreases
BTP009 - Prakash Nagar Junction,3,roll_7d_mean,0.2857142857142857,0.2554,increases
BTP009 - Prakash Nagar Junction,4,roll_30d_mean,0.0875,0.2132,increases
BTP010 - Rajajinagar Entrance,1,zone_hist_mean,0.6732161323681489,0.6474,increases
BTP010 - Rajajinagar Entrance,2,lag_1bin,0.0,-0.2155,decreases
BTP010 - Rajajinagar Entrance,3,zone_freq_enc,0.0033897422546211925,0.159,increases
BTP010 - Rajajinagar Entrance,4,lag_1d,0.0,-0.1582,decreases
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",1,zone_hist_mean,0.750775594622544,0.8226,increases
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",2,hour,0.0,0.4008,increases
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",3,roll_7d_mean,1.6071428571428572,0.2471,increases
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",4,zone_heavy_veh_share,0.29614325068870523,0.2161,increases
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",1,zone_hist_mean,0.0703205791106515,-0.7305,decreases
