zone,rank,feature,feature_value,shap,direction
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",2,violation_growth_rate,0.0,-0.4869,decreases
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",3,month,4.0,-0.3659,decreases
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",4,roll_7d_mean,0.05357142857142857,-0.3296,decreases
"BTP016 - 5th Main Road, RPC Layout",1,zone_hist_mean,1.7476732161323683,1.2483,increases
"BTP016 - 5th Main Road, RPC Layout",2,zone_freq_enc,0.008799791720906013,0.3202,increases
"BTP016 - 5th Main Road, RPC Layout",3,violation_growth_rate,0.40494938132733405,-0.2182,decreases
"BTP016 - 5th Main Road, RPC Layout",4,lag_1bin,0.0,-0.1828,decreases
BTP017 - Attiguppe Circle,1,roll_7d_mean,0.0,-0.8374,decreases
BTP017 - Attiguppe Circle,2,violation_growth_rate,0.0,-0.5165,decreases
BTP017 - Attiguppe Circle,3,hour,0.0,-0.4507,decreases
BTP017 - Attiguppe Circle,4,month,4.0,-0.3683,decreases
BTP018 - Dhobi Ghat Junction,1,lag_1bin,0.0,-0.1864,decreases
BTP018 - Dhobi Ghat Junction,2,zone_hist_mean,0.2781799379524302,0.1823,increases
BTP018 - Dhobi Ghat Junction,3,lag_1d,0.0,-0.1244,decreases
BTP018 - Dhobi Ghat Junction,4,hour,0.0,0.1231,increases
BTP020 - Hosahalli Metro Station,1,zone_hist_mean,2.7921406411582215,1.3835,increases
BTP020 - Hosahalli Metro Station,2,repeat_offender_density,5.342334251964811,0.3521,increases
BTP020 - Hosahalli Metro Station,3,zone_freq_enc,0.014058838844051028,0.3414,increases
BTP020 - Hosahalli Metro Station,4,zone_heavy_veh_share,0.0033333333333333335,-0.3065,decreases
"BTP022 - Marenahalli Junction, Vijayanagar",1,zone_hist_mean,0.8407445708376422,0.8618,increases
"BTP022 - Marenahalli Junction, Vijayanagar",2,zone_heavy_veh_share,0.00984009840098401,-0.3213,decreases
"BTP022 - Marenahalli Junction, Vijayanagar",3,hour,0.0,-0.27,decreases
"BTP022 - Marenahalli Junction, Vijayanagar",4,lag_1bin,0.0,-0.2102,decreases
BTP023 - Mahalaxmi Layout Entrance,1,zone_hist_mean,1.1468459152016546,1.0138,increases
BTP023 - Mahalaxmi Layout Entrance,2,roll_7d_mean,2.9285714285714284,0.3842,increases
BTP023 - Mahalaxmi Layout Entrance,3,zone_freq_enc,0.005774537880760219,0.2613,increases
BTP023 - Mahalaxmi Layout Entrance,4,lag_1bin,0.0,-0.2027,decreases
"BTP024 - NPS, Vijayanagar",1,roll_7d_mean,1.0357142857142858,0.2546,increases
"BTP024 - NPS, Vijayanagar",2,hour,0.0,0.1796,increases
"BTP024 - NPS, Vijayanagar",3,lag_1bin,0.0,-0.1692,decreases
"BTP024 - NPS, Vijayanagar",4,weekofyear,15.0,0.1238,increases
"BTP025 - Puttamma Choultry, Nagarbhavi",1,zone_hist_mean,0.01861427094105481,-1.5958,decreases
"BTP025 - Puttamma Choultry, Nagarbhavi",2,violation_growth_rate,0.0,-0.4529,decreases
"BTP025 - Puttamma Choultry, Nagarbhavi",3,zone_freq_enc,9.372559229367353e-05,-0.3797,decreases
"BTP025 - Puttamma Choultry, Nagarbhavi",4,month,4.0,-0.3677,decreases
"BTP026 - 1st Block Junction, Rajajinagar",1,zone_hist_mean,0.8210961737331954,0.807,increases
"BTP026 - 1st Block Junction, Rajajinagar",2,hour,0.0,-0.3011,decreases
"BTP026 - 1st Block Junction, Rajajinagar",3,zone_heavy_veh_share,0.020151133501259445,-0.2429,decreases
"BTP026 - 1st Block Junction, Rajajinagar",4,lag_1bin,0.0,-0.2,decreases
BTP027 - Modi Bridge Junction,1,zone_hist_mean,2.7880041365046537,1.3711,increases
BTP027 - Modi Bridge Junction,2,roll_7d_mean,4.125,0.4316,increases
BTP027 - Modi Bridge Junction,3,zone_freq_enc,0.014038010934652434,0.356,increases
BTP027 - Modi Bridge Junction,4,zone_heavy_veh_share,0.012240356083086053,-0.2589,decreases
BTP028 - Vijayanagar Bus Stand Junction,1,zone_hist_mean,0.5377456049638056,0.6031,increases
BTP028 - Vijayanagar Bus Stand Junction,2,lag_1bin,0.0,-0.2239,decreases
BTP028 - Vijayanagar Bus Stand Junction,3,lag_1d,0.0,-0.1558,decreases
BTP028 - Vijayanagar Bus Stand Junction,4,zone_heavy_veh_share,0.026923076923076925,-0.1489,decreases
BTP030 - Mekhri Circle,1,zone_hist_mean,0.028955532574974147,-1.8487,decreases
BTP030 - Mekhri Circle,2,violation_growth_rate,0.0,-0.434,decreases
BTP030 - Mekhri Circle,3,roll_30d_mean,0.175,-0.3676,decreases
BTP030 - Mekhri Circle,4,month,4.0,-0.3583,decreases
BTP032 - Windsor Circle,1,zone_hist_mean,2.1789038262668043,1.3157,increases
BTP032 - Windsor Circle,2,zone_freq_enc,0.01097110127570945,0.3445,increases
BTP032 - Windsor Circle,3,repeat_offender_density,5.187385805840755,0.2773,increases
BTP032 - Windsor Circle,4,violation_growth_rate,1.963288108539505,0.2728,increases
"BTP033 - Sophia High School, Sankey Road",1,violation_growth_rate,2.5714285714285716,0.491,increases
"BTP033 - Sophia High School, Sankey Road",2,weekofyear,15.0,0.2452,increases
"BTP033 - Sophia High School, Sankey Road",3,roll_30d_mean,0.029166666666666667,0.2439,increases
"BTP033 - Sophia High School, Sankey Road",4,lag_1bin,0.0,-0.1738,decreases
BTP034 - LRDE Junction,1,zone_heavy_veh_share,0.01935483870967742,-0.2444,decreases
BTP034 - LRDE Junction,2,lag_1bin,0.0,-0.1786,decreases
BTP034 - LRDE Junction,3,hour,0.0,-0.1549,decreases
BTP034 - LRDE Junction,4,zone_hist_mean,0.16028955532574973,-0.122,decreases
BTP035 - Basaweshwara Circle (LH) Junction,1,zone_hist_mean,0.028955532574974147,-1.3053,decreases
BTP035 - Basaweshwara Circle (LH) Junction,2,violation_growth_rate,0.0,-0.4702,decreases
BTP035 - Basaweshwara Circle (LH) Junction,3,month,4.0,-0.3573,decreases
BTP035 - Basaweshwara Circle (LH) Junction,4,roll_7d_mean,0.017857142857142856,-0.3157,decreases
BTP036 - Police Thimmaiah Circle (GPO),1,zone_hist_mean,0.07445708376421924,-0.6847,decreases
BTP036 - Police Thimmaiah Circle (GPO),2,roll_7d_mean,0.0,-0.6602,decreases
BTP036 - Police Thimmaiah Circle (GPO),3,violation_growth_rate,0.0,-0.4893,decreases
BTP036 - Police Thimmaiah Circle (GPO),4,month,4.0,-0.4053,decreases
BTP037 - KR Circle,1,roll_7d_mean,0.125,-0.248,decreases
BTP037 - KR Circle,2,lag_1bin,0.0,-0.1797,decreases
BTP037 - KR Circle,3,violation_growth_rate,0.47619047619047616,-0.1379,decreases
BTP037 - KR Circle,4,month,4.0,-0.1226,decreases
BTP038 - Mysore Bank Junction,1,zone_hist_mean,1.4570837642192347,1.0803,increases
BTP038 - Mysore Bank Junction,2,zone_freq_enc,0.007336631085654777,0.2779,increases
BTP038 - Mysore Bank Junction,3,roll_7d_mean,1.0,0.2203,increases
BTP038 - Mysore Bank Junction,4,lag_1d,0.0,-0.1918,decreases
BTP040 - Elite Junction,1,zone_hist_mean,7.5522233712512925,1.7924,increases
BTP040 - Elite Junction,2,roll_7d_mean,11.25,0.4506,increases
BTP040 - Elite Junction,3,zone_freq_enc,0.03802655558448321,0.3971,increases
BTP040 - Elite Junction,4,repeat_offender_density,5.375278407684165,0.295,increases
BTP041 - Gopal Gowda Circle,1,roll_7d_mean,0.08928571428571429,-0.2663,decreases
BTP041 - Gopal Gowda Circle,2,lag_1d,1.0,0.2347,increases
BTP041 - Gopal Gowda Circle,3,lag_1bin,0.0,-0.1566,decreases
BTP041 - Gopal Gowda Circle,4,carriageway_block_share,0.05952380952380952,0.1366,increases
BTP042 - Minsk Square Junction (CTO),1,zone_hist_mean,1.5418821096173734,1.1034,increases
BTP042 - Minsk Square Junction (CTO),2,zone_heavy_veh_share,0.006036217303822937,-0.4147,decreases
BTP042 - Minsk Square Junction (CTO),3,zone_freq_enc,0.007763603228325957,0.3017,increases
BTP042 - Minsk Square Junction (CTO),4,hour,0.0,-0.2975,decreases
BTP043 - Upparpet Junction,1,zone_hist_mean,1.220268872802482,0.9857,increases
BTP043 - Upparpet Junction,2,zone_freq_enc,0.006144233272585264,0.2383,increases
BTP043 - Upparpet Junction,3,lag_7d,2.0,0.214,increases
BTP043 - Upparpet Junction,4,lag_1bin,0.0,-0.1838,decreases
BTP044 - Sagar Theatre Junction,1,zone_hist_mean,7.4095139607032054,1.654,increases
BTP044 - Sagar Theatre Junction,2,zone_freq_enc,0.03730799271023171,0.3994,increases
BTP044 - Sagar Theatre Junction,3,roll_7d_mean,10.107142857142858,0.3963,increases
BTP044 - Sagar Theatre Junction,4,lag_7d,9.0,0.384,increases
BTP045 - Danvanthri Road Junction,1,zone_hist_mean,2.198552223371251,1.3667,increases
BTP045 - Danvanthri Road Junction,2,lag_1d,18.0,0.5236,increases
BTP045 - Danvanthri Road Junction,3,roll_7d_mean,2.9285714285714284,0.407,increases
BTP045 - Danvanthri Road Junction,4,zone_freq_enc,0.011070033845352772,0.3241,increases
BTP047 - Vidhan Soudha Metro Station,1,lag_1d,2.0,0.3198,increases
BTP047 - Vidhan Soudha Metro Station,2,roll_7d_mean,0.125,-0.2573,decreases
BTP047 - Vidhan Soudha Metro Station,3,violation_growth_rate,0.20408163265306123,-0.2256,decreases
BTP047 - Vidhan Soudha Metro Station,4,month,4.0,-0.1912,decreases
BTP048 - Shanthala Junction,1,zone_hist_mean,1.1116856256463288,1.0177,increases
BTP048 - Shanthala Junction,2,lag_1d,7.0,0.2678,increases
BTP048 - Shanthala Junction,3,zone_freq_enc,0.005597500650872169,0.2445,increases
BTP048 - Shanthala Junction,4,hour,0.0,0.2268,increases
BTP051 - Safina Plaza Junction,1,zone_hist_mean,9.5129265770424,1.7126,increases
BTP051 - Safina Plaza Junction,2,zone_freq_enc,0.04789898463941682,0.3985,increases
BTP051 - Safina Plaza Junction,3,roll_7d_mean,10.589285714285714,0.3351,increases
BTP051 - Safina Plaza Junction,4,lag_1d,4.0,0.3183,increases
BTP052 - CID Carlton House Junction,1,roll_7d_mean,0.07142857142857142,-0.3076,decreases
BTP052 - CID Carlton House Junction,2,zone_hist_mean,0.15718717683557393,-0.1964,decreases
BTP052 - CID Carlton House Junction,3,lag_1bin,0.0,-0.1697,decreases
BTP052 - CID Carlton House Junction,4,violation_growth_rate,2.142857142857143,0.1525,increases
BTP053 - Three Let Junction,1,zone_hist_mean,0.04446742502585315,-1.0485,decreases
BTP053 - Three Let Junction,2,roll_7d_mean,0.0,-0.6541,decreases
BTP053 - Three Let Junction,3,zone_freq_enc,0.00022390002603488675,-0.2484,decreases
BTP053 - Three Let Junction,4,violation_growth_rate,1.0,-0.1715,decreases
BTP054 - Shivananda Circle,1,zone_hist_mean,0.56153050672182,0.6056,increases
BTP054 - Shivananda Circle,2,lag_1bin,0.0,-0.2291,decreases
BTP054 - Shivananda Circle,3,lag_1d,0.0,-0.1473,decreases
BTP054 - Shivananda Circle,4,zone_freq_enc,0.0028273887008591512,0.123,increases
BTP057 - Anand Rao Junction,1,zone_hist_mean,2.638055842812823,1.4247,increases
BTP057 - Anand Rao Junction,2,lag_1d,17.0,0.4869,increases
BTP057 - Anand Rao Junction,3,roll_7d_mean,4.285714285714286,0.4193,increases
BTP057 - Anand Rao Junction,4,zone_freq_enc,0.013282999218953397,0.3159,increases
BTP058 - Subbanna Junction,1,zone_hist_mean,3.5656670113753877,1.5626,increases
BTP058 - Subbanna Junction,2,lag_1d,69.0,0.6332,increases
BTP058 - Subbanna Junction,3,hour,0.0,0.4865,increases
BTP058 - Subbanna Junction,4,roll_7d_mean,8.142857142857142,0.4368,increases
BTP061 - Bhashyam Circle,1,zone_hist_mean,0.7063081695966908,0.7031,increases
BTP061 - Bhashyam Circle,2,lag_1d,2.0,0.1954,increases
BTP061 - Bhashyam Circle,3,lag_1bin,0.0,-0.1797,decreases
BTP061 - Bhashyam Circle,4,zone_freq_enc,0.003556365529809945,0.1596,increases
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",1,lag_1bin,0.0,-0.1872,decreases
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",2,zone_hist_mean,0.3019648397104447,0.1717,increases
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",3,hour,0.0,0.156,increases
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",4,lag_1d,0.0,-0.1057,decreases
BTP063 - Siddalingaiah Circle,1,zone_hist_mean,0.749741468459152,0.7377,increases
BTP063 - Siddalingaiah Circle,2,lag_1bin,0.0,-0.2,decreases
BTP063 - Siddalingaiah Circle,3,zone_freq_enc,0.0037750585784951836,0.1665,increases
BTP063 - Siddalingaiah Circle,4,lag_1d,0.0,-0.1503,decreases
BTP064 - Devanga Hostel Junction,1,zone_hist_mean,0.08066184074457083,-0.637,decreases
BTP064 - Devanga Hostel Junction,2,violation_growth_rate,0.11278195488721804,-0.4876,decreases
BTP064 - Devanga Hostel Junction,3,month,4.0,-0.3617,decreases
BTP064 - Devanga Hostel Junction,4,roll_7d_mean,0.05357142857142857,-0.355,decreases
BTP067 - Jai Muni Rao Circle,1,roll_7d_mean,0.125,-0.2676,decreases
BTP067 - Jai Muni Rao Circle,2,lag_1bin,0.0,-0.1839,decreases
BTP067 - Jai Muni Rao Circle,3,violation_growth_rate,0.39473684210526316,-0.1776,decreases
BTP067 - Jai Muni Rao Circle,4,hour,0.0,-0.1609,decreases
BTP068 - Veeresh Theatre Junction,1,zone_hist_mean,0.39917269906928643,0.3549,increases
BTP068 - Veeresh Theatre Junction,2,weekofyear,15.0,0.265,increases
BTP068 - Veeresh Theatre Junction,3,violation_growth_rate,2.5974025974025974,0.2627,increases
BTP068 - Veeresh Theatre Junction,4,lag_1bin,0.0,-0.1879,decreases
BTP069 - MC Circle,1,zone_hist_mean,0.5356773526370218,0.5892,increases
BTP069 - MC Circle,2,lag_1bin,0.0,-0.2137,decreases
BTP069 - MC Circle,3,violation_growth_rate,1.93631669535284,0.1715,increases
BTP069 - MC Circle,4,lag_1d,0.0,-0.1505,decreases
"BTP070 - Cholurpalya Junction, Magadi Road",1,zone_hist_mean,1.262668045501551,1.0379,increases
"BTP070 - Cholurpalya Junction, Magadi Road",2,hour,0.0,-0.3973,decreases
"BTP070 - Cholurpalya Junction, Magadi Road",3,zone_heavy_veh_share,0.009009009009009009,-0.2821,decreases
"BTP070 - Cholurpalya Junction, Magadi Road",4,roll_7d_mean,1.3035714285714286,0.2726,increases
BTP071 - Prasanna Junction,1,zone_hist_mean,0.46845915201654603,0.5552,increases
BTP071 - Prasanna Junction,2,lag_1bin,0.0,-0.2162,decreases
BTP071 - Prasanna Junction,3,lag_1d,0.0,-0.141,decreases
BTP071 - Prasanna Junction,4,roll_30d_mean,0.4791666666666667,0.126,increases
BTP074 - Leprosy Hospital Junction,1,zone_hist_mean,0.56153050672182,0.6085,increases
BTP074 - Leprosy Hospital Junction,2,lag_1bin,0.0,-0.2149,decreases
BTP074 - Leprosy Hospital Junction,3,violation_growth_rate,0.38641686182669793,-0.208,decreases
BTP074 - Leprosy Hospital Junction,4,month,4.0,-0.1569,decreases
BTP075 - Police Corner,1,roll_7d_mean,0.07142857142857142,-0.3627,decreases
BTP075 - Police Corner,2,zone_hist_mean,0.1437435367114788,-0.2203,decreases
BTP075 - Police Corner,3,lag_1bin,0.0,-0.1598,decreases
BTP075 - Police Corner,4,weekofyear,15.0,0.1171,increases
BTP076 - Hudson Circle,1,lag_1bin,0.0,-0.1886,decreases
BTP076 - Hudson Circle,2,violation_growth_rate,0.3374578177727784,-0.1834,decreases
BTP076 - Hudson Circle,3,month,4.0,-0.1603,decreases
BTP076 - Hudson Circle,4,zone_hist_mean,0.296794208893485,0.1561,increases
BTP077 - Halasuru Gate Junction,1,zone_hist_mean,0.020682523267838676,-1.5583,decreases
BTP077 - Halasuru Gate Junction,2,violation_growth_rate,0.0,-0.4911,decreases
BTP077 - Halasuru Gate Junction,3,month,4.0,-0.359,decreases
BTP077 - Halasuru Gate Junction,4,zone_freq_enc,0.00010413954699297059,-0.3551,decreases
BTP078 - NR Square Junction,1,roll_7d_mean,0.05357142857142857,-0.2482,decreases
BTP078 - NR Square Junction,2,zone_heavy_veh_share,0.22527472527472528,0.1844,increases
BTP078 - NR Square Junction,3,hour,0.0,0.1767,increases
BTP078 - NR Square Junction,4,lag_1bin,0.0,-0.1554,decreases
BTP079 - Town Hall Junction,1,roll_7d_mean,0.0,-0.6788,decreases
BTP079 - Town Hall Junction,2,zone_hist_mean,0.10651499482936919,-0.4646,decreases
BTP079 - Town Hall Junction,3,violation_growth_rate,0.29556650246305416,-0.2086,decreases
BTP079 - Town Hall Junction,4,month,4.0,-0.1781,decreases
"BTP080 - NR Road, SP Road Junction",1,zone_hist_mean,2.37435367114788,1.3264,increases
"BTP080 - NR Road, SP Road Junction",2,roll_7d_mean,3.3214285714285716,0.4005,increases
"BTP080 - NR Road, SP Road Junction",3,zone_freq_enc,0.011955219994793022,0.3485,increases
"BTP080 - NR Road, SP Road Junction",4,lag_7d,4.0,0.2558,increases
BTP082 - KR Market Junction,1,zone_hist_mean,7.498448810754912,1.6901,increases
BTP082 - KR Market Junction,2,lag_1d,31.0,0.4564,increases
BTP082 - KR Market Junction,3,roll_7d_mean,9.303571428571429,0.4516,increases
BTP082 - KR Market Junction,4,hour,0.0,0.433,increases
"BTP083 - AS Char Street, Mysore Road",1,zone_hist_mean,1.9172699069286452,1.3149,increases
"BTP083 - AS Char Street, Mysore Road",2,hour,0.0,0.3524,increases
"BTP083 - AS Char Street, Mysore Road",3,zone_freq_enc,0.009653736006248373,0.3346,increases
"BTP083 - AS Char Street, Mysore Road",4,roll_7d_mean,1.625,0.2376,increases
BTP085 - Briyand Circle,1,zone_hist_mean,0.10237849017580145,-0.441,decreases
BTP085 - Briyand Circle,2,hour,0.0,0.3643,increases
BTP085 - Briyand Circle,3,lag_1d,1.0,0.2785,increases
BTP085 - Briyand Circle,4,zone_heavy_veh_share,0.25252525252525254,0.1425,increases
"BTP089 - Police Quarters, Sultan Road",1,zone_hist_mean,0.04136504653567735,-1.0237,decreases
"BTP089 - Police Quarters, Sultan Road",2,violation_growth_rate,0.0,-0.4519,decreases
"BTP089 - Police Quarters, Sultan Road",3,month,4.0,-0.3635,decreases
"BTP089 - Police Quarters, Sultan Road",4,lag_7d,3.0,0.3313,increases
BTP091 - Sirsi Circle,1,hour,0.0,0.3699,increases
BTP091 - Sirsi Circle,2,zone_heavy_veh_share,0.23125,0.1841,increases
BTP091 - Sirsi Circle,3,lag_1bin,0.0,-0.1696,decreases
BTP091 - Sirsi Circle,4,zone_hist_mean,0.1654601861427094,-0.1656,decreases
BTP092 - Bangalore Builders Junction,1,zone_hist_mean,0.07859358841778696,-0.5831,decreases
BTP092 - Bangalore Builders Junction,2,roll_7d_mean,0.05357142857142857,-0.3291,decreases
BTP092 - Bangalore Builders Junction,3,zone_freq_enc,0.0003957302785732882,-0.188,decreases
BTP092 - Bangalore Builders Junction,4,hour,0.0,0.1764,increases
"BTP093 - Toll Gate, Mysore Road",1,zone_hist_mean,0.04343329886246122,-0.9434,decreases
"BTP093 - Toll Gate, Mysore Road",2,violation_growth_rate,0.0,-0.435,decreases
"BTP093 - Toll Gate, Mysore Road",3,month,4.0,-0.3317,decreases
"BTP093 - Toll Gate, Mysore Road",4,roll_7d_mean,0.2857142857142857,0.2502,increases
"BTP094 - Sri Skanda Complex, Mysore Road",1,zone_hist_mean,0.07859358841778696,-0.6016,decreases
"BTP094 - Sri Skanda Complex, Mysore Road",2,roll_7d_mean,0.017857142857142856,-0.4919,decreases
"BTP094 - Sri Skanda Complex, Mysore Road",3,violation_growth_rate,0.20408163265306123,-0.3018,decreases
"BTP094 - Sri Skanda Complex, Mysore Road",4,month,4.0,-0.2376,decreases
"BTP095 - Satellite Bus Stand, Mysore Road",1,zone_hist_mean,0.4581178903826267,0.5445,increases
"BTP095 - Satellite Bus Stand, Mysore Road",2,lag_1d,2.0,0.2792,increases
"BTP095 - Satellite Bus Stand, Mysore Road",3,lag_1bin,0.0,-0.19,decreases
"BTP095 - Satellite Bus Stand, Mysore Road",4,roll_7d_mean,0.16071428571428573,-0.1602,decreases
BTP096 - Gali Anjaneya Temple,1,zone_hist_mean,0.6308169596690796,0.6828,increases
BTP096 - Gali Anjaneya Temple,2,lag_1d,3.0,0.2905,increases
BTP096 - Gali Anjaneya Temple,3,lag_1bin,0.0,-0.1759,decreases
BTP096 - Gali Anjaneya Temple,4,hour,0.0,0.1661,increases
BTP098 - Nayandahalli Junction,1,zone_hist_mean,0.13029989658738367,-0.3309,decreases
BTP098 - Nayandahalli Junction,2,roll_7d_mean,0.07142857142857142,-0.2749,decreases
BTP098 - Nayandahalli Junction,3,lag_7d,3.0,0.2702,increases
BTP098 - Nayandahalli Junction,4,hour,0.0,0.2506,increases
"BTP099 - Cash Pharmacy, Residency Road",1,violation_growth_rate,0.0,-0.4315,decreases
"BTP099 - Cash Pharmacy, Residency Road",2,month,4.0,-0.3368,decreases
"BTP099 - Cash Pharmacy, Residency Road",3,weekofyear,15.0,-0.2242,decreases
"BTP099 - Cash Pharmacy, Residency Road",4,zone_hist_mean,0.3019648397104447,0.2128,increases
BTP100 - Richmond Circle,1,roll_7d_mean,0.017857142857142856,-0.5879,decreases
BTP100 - Richmond Circle,2,hour,0.0,-0.3764,decreases
BTP100 - Richmond Circle,3,zone_heavy_veh_share,0.018796992481203006,-0.2798,decreases
BTP100 - Richmond Circle,4,lag_1bin,0.0,-0.1779,decreases
"BTP101 - Blood Bank Circle, KH Road",1,roll_7d_mean,0.017857142857142856,-0.6309,decreases
"BTP101 - Blood Bank Circle, KH Road",2,zone_hist_mean,0.37125129265770423,0.2329,increases
"BTP101 - Blood Bank Circle, KH Road",3,lag_1bin,0.0,-0.1871,decreases
"BTP101 - Blood Bank Circle, KH Road",4,lag_1d,0.0,-0.1681,decreases
"BTP102 - BMTC Junction, KH Road",1,zone_hist_mean,0.12099276111685625,-0.3777,decreases
"BTP102 - BMTC Junction, KH Road",2,roll_7d_mean,0.125,-0.2506,decreases
"BTP102 - BMTC Junction, KH Road",3,lag_1bin,0.0,-0.162,decreases
"BTP102 - BMTC Junction, KH Road",4,month,4.0,-0.1273,decreases
BTP103 - Shanti Nagar TTMC,1,zone_hist_mean,0.09824198552223372,-0.4615,decreases
BTP103 - Shanti Nagar TTMC,2,violation_growth_rate,0.18633540372670807,-0.2988,decreases
BTP103 - Shanti Nagar TTMC,3,roll_7d_mean,0.14285714285714285,-0.2381,decreases
BTP103 - Shanti Nagar TTMC,4,month,4.0,-0.2378,decreases
BTP104 - Medical College Circle,1,zone_hist_mean,0.8955532574974147,0.9505,increases
BTP104 - Medical College Circle,2,roll_7d_mean,2.3392857142857144,0.363,increases
BTP104 - Medical College Circle,3,lag_1d,6.0,0.2839,increases
BTP104 - Medical College Circle,4,lag_1bin,0.0,-0.2104,decreases
BTP105 - Shivasankara Circle,1,roll_7d_mean,0.0,-0.4706,decreases
BTP105 - Shivasankara Circle,2,zone_hist_mean,0.12306101344364012,-0.3921,decreases
BTP105 - Shivasankara Circle,3,lag_1bin,0.0,-0.1499,decreases
BTP105 - Shivasankara Circle,4,weekofyear,15.0,0.146,increases
BTP106 - VV Puram College,1,zone_hist_mean,0.10341261633919338,-0.4619,decreases
BTP106 - VV Puram College,2,roll_7d_mean,0.017857142857142856,-0.4521,decreases
BTP106 - VV Puram College,3,hour,0.0,-0.3438,decreases
BTP106 - VV Puram College,4,zone_heavy_veh_share,0.02,-0.2434,decreases
BTP107 - National College Junction,1,zone_hist_mean,0.06928645294725956,-0.6655,decreases
BTP107 - National College Junction,2,roll_7d_mean,0.05357142857142857,-0.4588,decreases
BTP107 - National College Junction,3,zone_heavy_veh_share,0.0,-0.2873,decreases
BTP107 - National College Junction,4,hour,0.0,-0.2674,decreases
BTP108 - Tagore Park Junction,1,zone_hist_mean,1.1799379524301965,1.0169,increases
BTP108 - Tagore Park Junction,2,roll_7d_mean,2.9285714285714284,0.3761,increases
BTP108 - Tagore Park Junction,3,zone_freq_enc,0.005941161155948972,0.2472,increases
BTP108 - Tagore Park Junction,4,lag_1bin,0.0,-0.214,decreases
BTP109 - Dewan Madhava Rao Junction,1,violation_growth_rate,0.351288056206089,-0.1941,decreases
BTP109 - Dewan Madhava Rao Junction,2,lag_1bin,0.0,-0.1759,decreases
BTP109 - Dewan Madhava Rao Junction,3,month,4.0,-0.1582,decreases
BTP109 - Dewan Madhava Rao Junction,4,roll_7d_mean,0.375,0.1339,increases
"BTP110 - Bharathi Nursing Home, Basavanagudi",1,zone_hist_mean,0.0031023784901758012,-3.4126,decreases
"BTP110 - Bharathi Nursing Home, Basavanagudi",2,zone_freq_enc,1.5620932048945588e-05,-0.6608,decreases
"BTP110 - Bharathi Nursing Home, Basavanagudi",3,roll_30d_mean,0.016666666666666666,-0.4777,decreases
"BTP110 - Bharathi Nursing Home, Basavanagudi",4,roll_7d_mean,0.017857142857142856,-0.3514,decreases
"BTP112 - 14th Cross, KR Road",1,zone_hist_mean,0.007238883143743537,-2.3555,decreases
"BTP112 - 14th Cross, KR Road",2,roll_7d_mean,0.0,-0.6315,decreases
